位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
宁波·江北区·孔浦,国慧科技,互联网,大专,1-3年,4-8K,小程序|Python工程师|全栈开发,Python
上海·虹口区·四川北路,上海蒲钱,移动互联网,本科,经验不限,5-9K,数据开发|Python|Java|网络爬虫技术|数据分析|服务器配置|Python,Python
北京·昌平区·回龙观,北京双升科技有限公司,计算机软件,大专,3-5年,15-20K,Python|Linux开发/部署经验,Python
北京·东城区·建国门内,宇通科技,互联网,学历不限,经验不限,11-15K,Python,Python
沈阳·沈北新区·正良,沈阳叩丁狼信息科...,培训/辅导机构,本科,3-5年,12-13K,Python,python
西安·莲湖区·土门,山西慢快科技有限...,移动互联网,大专,3-5年,3-6K,后端|Python,Python
深圳·南山区·科技园,腾讯,互联网,本科,3-5年,15-30K·16薪,Python,Python
茂名·茂南区·高凉南路,广东茂晟科技有限公司,移动互联网,学历不限,经验不限,5-7K,Python|Flask|PyTorch|TensorFlow|MongoDB|架构设计经验,Python
深圳·宝安区·西乡,生境科技,人工智能,本科,3-5年,15-30K·15薪,后端|数据开发|机器学习/算法工程|Python|Flask|MySQL|计算机相关专业|服务端开发经验|机器学习工程经验|留学生优先|国内院校优先|英美留学生|欧洲留学生,Python
泉州·南安市·康美镇,旺佳科技文化传媒,社交网络,本科,1-3年,15-16K,Python|C|PHP|Django|Flask|Tornado|MySQL|Redis|Oracle,Python
郑州·金水区·CBD,国信投资,互联网金融,本科,1年以内,5-8K,Python|python爬虫|数据采集,Python
湖州,微银合创,计算机软件,本科,经验不限,5-10K,Linux|软件工程师|初级软件工程师|SQL|中级软件工程师,Python
